project_id,status,tenants_used,databases_used,cross_tenant,topic_focus
acinetobacter_adp1_explorer,completed,kbase|kescience|phagefoundry,kbase_ke_pangenome|kbase_msd_biochemistry|kescience_fitnessbrowser|phagefoundry_acinetobacter_genome_browser,true,ADP1 annotation integration and pangenome connectivity
adp1_deletion_phenotypes,complete,kbase,kbase_ke_pangenome,false,condition-dependent essentiality in ADP1
adp1_triple_essentiality,complete,user,user_data,false,FBA-TnSeq-growth concordance
amr_cofitness_networks,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,AMR support network cofitness
amr_environmental_resistome,complete,kbase|kescience,kbase_ke_pangenome|kescience_fitnessbrowser|alphaearth_embeddings,true,environmental resistome at pangenome scale
amr_fitness_cost,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,fitness cost of AMR genes
amr_pangenome_atlas,complete,kbase|kescience,kbase_ke_pangenome|kescience_fitnessbrowser,true,pan-bacterial AMR landscape
amr_strain_variation,complete,kbase,kbase_ke_pangenome,false,within-species AMR variation
aromatic_catabolism_network,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,aromatic catabolism support network
bacdive_metal_validation,complete,kescience|kbase,kescience_bacdive|kbase_ke_pangenome,true,BacDive isolation × metal tolerance
bacdive_phenotype_metal_tolerance,complete,kescience|kbase,kescience_bacdive|kbase_ke_pangenome,true,BacDive phenotype prediction of metal tolerance
bacillota_b_subsurface_accessory,complete,kbase,kbase_ke_pangenome,false,Bacillota_B subsurface accessory genes
cf_formulation_design,complete,protect|kbase|phagefoundry|kescience,protect_genomedepot|kbase_ke_pangenome|phagefoundry_paeruginosa|kescience_fitnessbrowser|kescience_bacdive,true,CF probiotic formulation design
clay_confined_subsurface,complete,kbase|kescience,kbase_ke_pangenome|kescience_bacdive,true,clay-confined subsurface genomics
cofitness_coinheritance,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,cofitness predicts pangenome co-inheritance
cog_analysis,complete,kbase,kbase_ke_pangenome,false,COG enrichment across core-auxiliary-novel
conservation_fitness_synthesis,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,fitness-conservation synthesis
conservation_vs_fitness,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,essential genes and pangenome conservation
core_gene_tradeoffs,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,core gene burden paradox
costly_dispensable_genes,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,characterization of costly-dispensable genes
counter_ion_effects,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,counter-ion confounding in metal fitness
ecotype_analysis,complete,kbase,kbase_ke_pangenome,false,phylogeny vs environment in gene content
ecotype_env_reanalysis,complete,kbase,kbase_ke_pangenome,false,environment effects on ecotypes
enigma_contamination_functional_potential,complete,enigma|kbase,enigma_coral|kbase_ke_pangenome,true,contamination gradient functional potential
enigma_sso_asv_ecology,complete,enigma,enigma_coral,false,SSO subsurface community ecology
env_embedding_explorer,complete,kbase,kbase_ke_pangenome,false,AlphaEarth embeddings exploration
essential_genome,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,pan-bacterial essential genome families
essential_metabolome,complete,kbase,kbase_ke_pangenome|kbase_msd_biochemistry,true,essential metabolome via GapMind
field_vs_lab_fitness,complete,kescience|enigma|kbase,kescience_fitnessbrowser|enigma_coral|kbase_ke_pangenome,true,field vs lab fitness importance
fitness_effects_conservation,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,fitness vs conservation gradient
fitness_modules,complete,kescience,kescience_fitnessbrowser,false,ICA fitness modules
