claim_summary,source_type,source_detail
"Primary PGLS: per-Mb metal-gene KO density negatively associated with niche breadth β=-0.021, p=2.1×10⁻⁸, SE=0.0037, n=1,574",analysis_file,data/01_primary_pgls_results.csv: P1_bacteria_primary
"Primary PGLS: Pagel's λ=0.757, ΔAIC=-29.4, r²=0.046",analysis_file,data/01_primary_pgls_results.csv: P1_bacteria_primary
"Archaea replication (P2): β=-0.014, p=0.119, n=95, λ=0.726",analysis_file,data/01_primary_pgls_results.csv: P2_archaea_primary
"NGSA Australia replication (P3): β=-0.002, p=0.755, n=482",analysis_file,data/01_primary_pgls_results.csv (implied by text)
"Pervasive genome streamlining: 14 of 19 KEGG functional categories significant (q<0.05)",analysis_file,data/03_category_pgls_results.csv: 14 categories with q<0.05
"Metal genes rank 11th in functional landscape per-Mb density (β=-0.021)",analysis_file,data/03_category_pgls_results.csv: ranking by β
"Cofactor biosynthesis: β=-0.033, p=5.2×10⁻⁹, strongest among subcategories",analysis_file,data/03_tier_pgls_results.csv
"Resistance/detoxification genes: β≈0, p=0.66, null association with niche breadth",analysis_file,data/03_tier_pgls_results.csv
"Split-magnitude permutation test: Δβ=0.035, p<0.001, 0/1,000 random partitions exceeded observed",analysis_file,data/split_magnitude_permutation.csv
"Cofactor jackknife: all 4 leave-one-out tests significant (p<0.001), β range -0.016 to -0.029",analysis_file,data/cofactor_jackknife_results.csv
"Non-metal cofactor set: β=-0.029, p=2.4×10⁻¹¹, n=370 KOs, 1,073 genera, nearly identical to metal cofactor",analysis_file,data/03_category_pgls_results.csv: Cofactors and vitamins row
"Genome size attenuation: 46.7%, β 0.021→0.011, p=0.006, still significant",analysis_file,data/04_confounder_results.csv: genome size row
"Soil-restricted signal strengthens (n=162): β=-0.033, p=0.007",analysis_file,data/01_soil_restricted_pgls_results.csv
"Nine metals tested: all significant after BH-FDR, β range -0.017 (Mn) to -0.027 (Tl)",analysis_file,data/03_metal_pgls_results.csv
"Sensitivity analyses (S1-S8): 6 of 7 directionally consistent with H1, 5 individually significant p<0.05",analysis_file,data/05_sensitivity_results.csv
